TERMINO,DEFINICION,REFERENCIA,ARTICULO
Persona prestadora del servicio público domiciliario de aseo,"Es aquella encargada de todas, una o varias de las actividades del servicio de recolección municipal de residuos o de las complementarias de la prestación del servicio público domiciliario de aseo, en los términos de los artículos 14 y 15 de la Ley 142 de 1994.",Decreto 1076 de 2015,ARTÍCULO 2.2.8.13.1.2.
Plaguicida,"Cualquier sustancia o mezcla de sustancias destinadas a prevenir, destruir o controlar cualquier plaga, las especies no deseadas de plantas o animales que causan perjuicio o que interfieren de cualquier otra forma en la producción, elaboración, almacenamiento, transporte o comercialización de alimentos, productos agrícolas, madera y productos de madera o alimento para animales, o que puedan administrarse a los animales para combatir insectos, arácnidos u otras plagas en o sobre sus cuerpos. El término incluye las sustancias destinadas a utilizarse como reguladoras del crecimiento de las plantas, defoliantes, desecantes, agentes para reducir la densidad de fruta, agentes para evitar la caída prematura de la fruta, y las sustancias aplicadas a los cultivos antes o después de la cosecha para proteger el producto contra el deterioro durante el almacenamiento y transporte.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Plaguicidas en desuso,"Aquellos plaguicidas y los residuos o desechos de estos, que ya no pueden ser usados, por cualquier causa, para su propósito original o para cualquier otro fin, por lo que deben ser eliminados de manera segura para la salud humana y el medio ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Plan de aprovechamiento forestal,"Es la descripción de los sistemas, métodos y equipos a utilizar en la cosecha del bosque y extracción de los productos, presentando por el interesado en realizar aprovechamientos forestales únicos",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Plan de establecimiento y manejo forestal,"Estudio elaborado con base en el conjunto de normas técnicas de la silvicultura a que regulan las acciones a ejecutar en una plantación forestal, con el fin de establecer, desarrollar, mejorar, conservar y aprovechar bosques cultivados de acuerdo con los principios de utilización racional y manejo sostenible de los recursos naturales renovables y del medio ambiente",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Plan de gestión de devolución de productos pos consumo,"Instrumento de gestión que contiene el conjunto de reglas, acciones, procedimientos y medios dispuestos para facilitar la devolución y acopio de productos pos consumo que al desecharse se convierten en residuos peligrosos, con el fin de que sean enviados a instalaciones en las que se sujetarán a procesos que permitirán su aprovechamiento y/o valorización, tratamiento y/o disposición final controlada.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Plan de gestión integral de residuos sólidos (PGIRS),"Es el instrumento de planeación municipal o regional que contiene un conjunto ordenado de objetivos, metas, programas, proyectos, actividades y recursos definidos por uno o más entes territoriales para el manejo de los residuos sólidos, basado en la política de gestión integral de los mismos, el cual se ejecutará durante un período determinado, basándose en un diagnóstico inicial, en su proyección hacia el futuro y en un plan financiero viable que permita garantizar el mejoramiento continuo del manejo de residuos y la prestación del servicio de aseo a nivel municipal o regional, evaluado a través de la medición de resultados. Corresponde a la entidad territorial la formulación, implementación, evaluación, seguimiento y control y actualización del PGIRS.",Decreto 2981 DE 2013,ARTICULO 2
Plan de Manejo Ambiental,"Es el instrumento administrativo de manejo y control ambiental a través del cual se autoriza la operación de los zoocriaderos de la especie Hélix aspersa que a la fecha de expedición del presente decreto se encuentren en funcionamiento y comprende el conjunto detallado de actividades, que producto de una evaluación ambiental, están orientadas a prevenir, mitigar, corregir o compensar los impactos y efectos ambientales que se causen por el desarrollo de un proyecto, obra o actividad. Incluye los planes de seguimiento, monitoreo, contingencia y abandono.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.2.16.2.
Plan de manejo forestal,"Es la formulación y descripción de los sistemas y labores silviculturales a aplicar en el bosque sujeto a aprovechamiento, con el objeto de asegurar su sostenibilidad, presentando por el interesado en realizar aprovechamientos forestales persistentes.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Plan de Manejo Sanitario,"Es el conjunto de medidas zoosanitarias que debe cumplir un establecimiento que desarrolle actividades pecuarias, para este caso, los zoocriaderos de caracoles de la especie Hélix aspersa.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.2.16.2.
Plan de ordenación forestal,"Es el estudio elaborado por las corporaciones que, fundamentado en la descripción de los aspectos bióticos; abióticos, sociales y económicos, tiene por objeto asegurar que el interesado en utilizar el recurso en un área forestal productora, desarrolle su actividad en forma planificada para así garantizar el manejo adecuado y el aprovechamiento sostenible del recurso",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Plan maestro,"Guía técnica para el desarrollo, interpretación, conservación, protección, uso y para el manejo en general, de cada una de las áreas que integran el Sistema de Parques Nacionales Naturales; incluye las zonificaciones respectivas",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Plantación Forestal,Es el bosque originado por la intervención directa del hombre,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Población,Nivel de la biodiversidad que hace referencia a un grupo de individuos de una especie que se entrecruzan y producen población fértil,Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.1.2.
Posesión de residuos o desechos peligrosos,"Es la tenencia de esta clase de residuos con ánimo de señor y dueño, sea que el dueño o el que se da por tal, tenga la cosa por sí mismo, o por otra persona que la tenga en lugar y a nombre de él.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Precintos,Son unidades de identificación contramarcadas no reutilizables y destinadas a la identificación de pieles y productos de especies de la fauna silvestre.,NA,NA
Preservación,Conjunto de acciones orientadas al mantenimiento del estado natural de la biodiversidad y de los ecosistemas mediante la limitación de la intervención humana en ellos,Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Prevención de riesgo,"Medidas y acciones de intervención restrictiva o prospectiva dispuestas con anticipación con el fin de evitar que se genere riesgo. Puede enfocarse a evitar o neutralizar la amenaza o la exposición y la vulnerabilidad ante la misma en forma definitiva para impedir que se genere nuevo riesgo. Los instrumentos esenciales de la prevención son aquellos previstos en la planificación, la inversión pública y el ordenamiento ambiental territorial, que tienen como objetivo reglamentar el uso y la ocupación del suelo de forma segura y sostenible.",Ley 1523 de 2012,ARTICULO 4
Producto de la flora silvestre,"Son los productos no maderables obtenidos a partir de las especies vegetales silvestres, tales como gomas, resinas, látex, lacas, frutos, cortezas, estirpes, semillas y flores, entre otros",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Producto forestal no maderable,"Bienes de origen biológico distintos de la madera y la fauna, que se obtienen de las variadas formas de vida de la flora silvestre, incluidos los hongos, y que hacen parte de los ecosistemas naturales.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Sostenibilidad,Formas de progreso que satisfacen las necesidades de recursos naturales y servicios ambientales de las generaciones actuales sin poner en peligro la capacidad de las generaciones futuras para satisfacer las suyas.,NA,NA
Productos forestales de segundo grado de transformación o terminados,"Son los productos de la madera obtenidos mediante diferentes procesos y grados de elaboración y de acabado industrial con mayor valor agregado, tales como molduras, parquet, listón machihembrado, puertas, muebles en crudo o terminados, tableros aglomerados, tableros laminados, tableros contrachapados, tableros de fibras, tableros de partículas, marcos de puertas y ventanas, entre otros. Se considera productos secundarios los de madera aserrada que presenten secado y/o inmunizado, trabajo de cepillado por sus caras más amplias y un espesor menor a 5 cm, así como aquellos productos rollizos que tienen secado industrial e inmunizado.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Productos forestales de transformación primaria,"Son los productos obtenidos directamente a partir de las trozas, tales como: bloques, bancos, tablones, tablas y además chapas, entre otros, sin ser sometidos a ningún proceso o grado de elaboración y/o de acabado industrial con mayor valor agregado.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Productos forestales maderables,"Es la madera que se obtiene del aprovechamiento de especies forestales leñosas, así como los productos y derivados que se obtengan de la transformación de esta. Se diferencia entre rollizos y aserrados.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Productos forestales no maderables en primer grado de transformación,Son aquellos que no han sufrido ninguna transformación física o estética y que conservan su estructura original.,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Programa Ambiental,"Conjunto de acciones orientadas al desarrollo de los planes y políticas ambientales nacionales previstas en el Plan Nacional de Desarrollo y/o formuladas por el Ministerio del Medio Ambiente, así como también las que correspondan a la implementación de los planes ambientales regionales definidos por las autoridades ambientales",Decreto 2532 de 2001,Artículo 2
Programa de Manejo Ambiental,"Proceso de implantación que describe cómo se conseguirán los objetivos y las metas definidos en los planes de manejo, lo cual incluye su planificación en el tiempo y el personal responsable para su implantación. Los programas están conformados por proyectos y/o acciones.",NA,NA
Programa para el uso eficiente y ahorro del agua (PUEAA),"Es una herramienta enfocada a la optimización del uso del recurso hídrico, conformado por el conjunto de proyectos y acciones que le corresponde elaborar y adoptar a los usuarios que soliciten concesión de aguas, con el propósito de contribuir a la sostenibilidad de este recurso",Decreto 1090 de 2018,ARTICULO 1
"Protección, recuperación, conservación, preservación y vigilancia","Es la gestión que propende por la conservación de la cuenca hídrica a través de acciones de preservación, restauración, implementación de proyectos de uso sostenible y/o monitoreo del recurso hídrico",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Protocolo de Kioto,"Es un tratado internacional cuyo objetivo principal es lograr que para 2008-2012 los países desarrollados disminuyan sus emisiones de gases de efecto invernadero a un 5% menos del nivel de emisiones de 1990; se amplió hasta el 2015, con metas a 2020.",NA,NA
Protocolo de manejo de las colecciones biológicas,"Documento elaborado por el titular de la colección que describe las actividades que realiza respecto de los especímenes depositados, a fin de garantizar la buena calidad, conservación y administración legal de las colecciones biológicas nacionales. Dicho Protocolo debe ser elaborado de acuerdo a los Términos de Referencia que para el efecto expida el Ministerio de Ambiente y Desarrollo Sostenible.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Protocolo de Montreal,Protocolo relativo a las Sustancias que agotan la Capa de Ozono. Su entrada en vigor fue en enero de 1989. El Protocolo de Montreal busca fijar plazos máximos para la eliminación de la producción y consumo de las principales sustancias agotadoras de la capa de ozono.,NA,NA
Proyectos de inversión en descontaminación y monitoreo de la calidad del recurso hídrico,"Son todas aquellas inversiones para el mejoramiento, monitoreo y evaluación de la calidad del recurso hídrico, incluyendo la elaboración y ejecución de los Planes de Ordenamiento del Recurso Hídrico, inversiones en interceptores, emisarios finales y sistemas de tratamiento de aguas residuales domésticas. Hasta un 10% del recaudo de la tasa retributiva podrá utilizarse para la cofinanciación de estudios y diseños asociados a estas obras.",Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Puertos marítimos de gran calado,"Son aquellos terminales marítimos, en los que su conjunto de elementos físicos y las obras de canales de acceso cuya capacidad para movilizar carga es igual o superior a un millón quinientas mil (1.500.000) toneladas/año y en los cuales pueden atracar embarcaciones con un calado igual o superior a veintisiete (27) pies.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.3.1.1.
Punto de captación,Es el sitio o lugar donde el usuario toma el recurso hídrico para cualquier uso.,Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Punto de control del vertimiento,"Lugar técnicamente definido y acondicionado para la toma de muestras de las aguas residuales de los usuarios de la autoridad ambiental o de los suscriptores y/o usuarios del prestador del servicio público domiciliario de alcantarillado, localizado entre el sistema de tratamiento y el punto de descarga.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Punto de descarga,"Sitio o lugar donde se realiza un vertimiento al cuerpo de agua, al alcantarillado o al suelo.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Quebrada,"Curso natural de agua normalmente pequeño y poco profundo, por lo general, de flujo permanente, en cierto modo turbulento y tributario de un río y/o mar.",NA,NA
Receptor,"Es la persona natural o jurídica, pública o privada, debidamente autorizada para eliminar los desechos peligrosos provenientes de plaguicidas y los plaguicidas en desuso.",Decreto 1076 de 2015,ARTÍCULO 2.2.7.1.1.4.
Reciclador,Es la persona natural o jurídica que se dedica a realizar una o varias de las actividades que comprende la recuperación o el reciclaje de residuos.,Decreto 1076 de 2015,ARTÍCULO 2.2.8.13.1.2.
Reciclaje,"Son los procesos mediante los cuales se aprovechan y transforman los residuos recuperados y se devuelven a los materiales su potencialidad de reincorporación como materia prima para la fabricación de nuevos productos. El reciclaje consta de una o varias actividades: Tecnologías limpias, reconversión industrial, separación, acopio, reutilización, transformación y comercialización.",Decreto 1076 de 2015,ARTÍCULO 2.2.8.13.1.2.
Recolección de especímenes,"Consiste en los procesos de captura y/o remoción o extracción temporal o definitiva del medio natural de especímenes de la diversidad biológica, para la realización de inventarios y caracterizaciones que permitan el levantamiento de línea base de los estudios ambientales.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.2.2.
Recuperación,"Es la acción que permite retirar de los residuos aquellos materiales que pueden someterse a un nuevo proceso de aprovechamiento, para convertirlos en materia prima útil en la fabricación de nuevos productos.",Decreto 1076 de 2015,ARTÍCULO 2.2.8.13.1.2.
Recurso hídrico,"Aguas superficiales, subterráneas, meteóricas y marinas.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Recursos genéticos,"Conjunto de partículas transmisoras de caracteres hereditarios dentro de las poblaciones naturales de flora y fauna silvestre, que ocupan un área dada.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Recursos naturales renovables,"on aquellos que la propia naturaleza repone periódicamente mediante procesos biológicos o de otro tipo, esto es, que se renuevan por sí mismos",Sentencia C-221/97,NA
Reforestación,"Es el establecimiento de árboles para formar bosques, realizado por el hombre.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Región fisiográfica,"Unidad geográfica definida por características tales como drenaje, relieve, geomorfología, hidrología; por lo general sus límites son arcifinios.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Registro Único Nacional de Colecciones Biológicas,"Instrumento otorgado y administrado por el Instituto de Investigación de Recursos Biológicos ""Alexander Von Hum-boldt"" como entidad competente para adelantar esta actividad, a través del cual se ampara la tenencia legal de los especímenes de las colecciones biológicas.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Reglamento Operativo,"Documento diseñado y aprobado por el Comité del Fondo de Compensación Ambiental, mediante el cual se determina el procedimiento para e recaudo, el giro de los recursos, el trámite de las solicitudes presentadas por las Corporaciones, desarrolla los criterios generales de distribución contenidos en presente capítulo y establece parámetros para el seguimiento y evaluación de la efectividad del gasto, y las demás que se consideren complementarias para el logro de los objetivos del Fondo",Decreto 1076 de 2015,ARTÍCULO 2.2.9.5.1.1
Rehabilitación,"Son las acciones de restauración que están orientadas a llevar el sistema degradado a un sistema similar o no al sistema predisturbio, este debe ser autosostenible, preservar algunas especies y prestar algunos servicios ecosistémicos",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Relleno sanitario,"Solución técnica de Saneamiento Básico, resultado de procesos de Planeación, Diseño, Operación y Control para la disposición final adecuada de residuos sólidos.",Decreto 838 de 2005,ARTICULO 1
Remediación,Conjunto de medidas a las que se someten los sitios contaminados para reducir o eliminar los contaminantes hasta un nivel seguro para la salud y el ambiente o prevenir su dispersión en el ambiente sin modificarlos.,Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Reserva de un acuífero,Es la cantidad de agua subterránea almacenada en el acuífero.,Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
Reserva Natural de la Sociedad Civil,"Denominase Reserva Natural de la Sociedad Civil la parte o el todo del área de un inmueble que conserve una muestra de un ecosistema natural y sea manejado bajo los principios de la sustentabilidad en el uso de los recursos naturales. Se excluyen las áreas en que exploten industrialmente recursos maderables, admitiéndose sólo la explotación de maderera de uso doméstico y siempre dentro de parámetros de sustentabilidad.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.17.1.
Residuo o desecho,"Es cualquier objeto, material, sustancia, elemento o producto que se encuentra en estado sólido o semisólido, o es un líquido o gas contenido en recipientes o de pósitos, cuyo generador descarta, rechaza o entrega porque sus propiedades no permiten usarlo nuevamente en la actividad que lo generó o porque la legislación o la normatividad vigente así lo estipula.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Residuo o Desecho Peligroso,"Es aquel residuo o desecho que por sus características corrosivas, reactivas, explosivas, tóxicas, inflamables, infecciosas o radiactivas puede causar riesgo o daño para la salud humana y el ambiente. Así mismo, se considera residuo o desecho peligroso los envases, empaques y embalajes que hayan estado en contacto con ellos.",NA,NA
Residuo o Desecho Peligroso (RESPEL),"Es aquel residuo o desecho que, por sus características corrosivas, reactivas, explosivas, toxicas inflamables, infecciosas o radiactivas puede causar riesgo o daño para la salud humana y el ambiente. Así mismo, se considera residuo o desecho peligroso los envases, empaques y embalajes que hayan estado en contacto con ellos.",,
Residuo Peligroso,"Es aquel residuo o desecho que por sus características corrosivas, reactivas, explosivas, tóxicas, inflamables, infecciosas o radiactivas, puede causar riesgos, daños o efectos no deseados, directos e indirectos, a la salud humana y el ambiente. Así mismo, se considerará residuo peligroso los empaques, envases y embalajes que estuvieron en contacto con ellos.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Resiliencia,"Capacidad de los ecosistemas para absorber perturbaciones, sin alterar significativamente sus características naturales de estructura y funcionalidad, es decir, regresar a un estado similar al original una vez que la perturbación ha terminado.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Restauración,"Son las acciones orientadas a restablecer parcial o totalmente la composición, estructura y función de la biodiversidad, que haya sido alterada o degradada. Estas acciones pueden ser: restauración ecológica y rehabilitación ecológica",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Restauración Ecológica,"Son las acciones de restauración que están orientadas a restablecer el ecosistema degradado a una condición similar al ecosistema predisturbio respecto a su composición, estructura y funcionamiento. Además el ecosistema resultante debe ser un sistema autosostenible y debe garantizar la conservación de especies, del ecosistema en general así como de la mayoría de sus bienes y servicios.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.3.1.1
Reutilización,"Es la prolongación y adecuación de la vida útil de los residuos recuperados y que mediante tratamientos devuelven a los materiales su posibilidad de utilización en su función original o en alguna relacionada, sin que para ello requieran procesos adicionales de transformación.",Decreto 1076 de 2015,ARTÍCULO 2.2.8.13.1.2.
Riesgo,"Probabilidad o posibilidad de que el manejo, la liberación al ambiente y la exposición a un material o residuo, ocasionen efectos adversos en la salud humana y/o al ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Río,Corriente de agua de grandes dimensiones que sirve de canal natural en una cuenca de drenaje.,NA,NA
Ronda Hídrica,"Comprende la faja paralela a la línea de mareas máximas o a la del cauce permanente de ríos y lagos, hasta de treinta metros de ancho.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.2.3A.2.
rotocolo para el manejo sostenible de la flora silvestre y de los productos forestales no maderables,Documento técnico que contiene los lineamientos para el manejo sostenible de la flora silvestre y de los productos forestales no maderables.,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Salvoconducto de movilización,Es el documento que expide la entidad administradora del recurso para movilizar o transportar por primera vez los productos maderables y no maderables que se concede con base en el acto administrativo que otorga el aprovechamiento,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Salvoconducto de removilización,Es el documento que expide la entidad administradora del recurso para autorizar la movilización o transporte parcial o total de un volumen o de una cantidad de productos forestales y no maderables que inicialmente había sido autorizados por un salvoconducto de movilización.,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Salvoconducto de renovación,"Es el nuevo documento que expide la entidad administradora del recurso para renovar un salvoconducto cuyo término se venció sin que se hubiera realizado la movilización o el transporte de los productos inicialmente autorizados, por la misma cantidad y volumen que registró el primer salvoconducto.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Salvoconducto Único Nacional en Línea,"Para la movilización de especímenes de la Diversidad biológica (SUNL): documento que ampara la movilización, removilización y renovación en el territorio Nacional de especímenes de la diversidad biológica, emitido por la autoridad ambiental competente, a través de la Ventanilla Integral de Trámites Ambientales en Línea (VITAL)",Resolución 1904 de 2017,ARTICULO  4
Sedimentos,"Se refiere a los sólidos en suspensión que son arrastrados por una corriente de agua y que, posteriormente, son depositados en zonas específicas como resultado de cambios en las condiciones hidráulicas de un cuerpo de agua.",NA,NA
Separación en la fuente,"Es la clasificación de los residuos sólidos, en aprovechables y no aprovechables por parte de los usuarios en el sitio donde se generan, de acuerdo con lo establecido en el PGIRS, para ser presentados para su recolección y transporte a las estaciones de clasificación y aprovechamiento, o de disposición final de los mismos, según sea el caso.",Decreto 2981 DE 2013,ARTICULO 2
Servicio de la deuda,"Corresponde a los gastos por concepto del servicio de (a deuda pública tanto interna como externa. Tienen por objeto el atender el cumplimiento de las obligaciones contractuales correspondientes al pago del capital, los intereses, las comisiones y los imprevistos originados en operaciones de crédito público que incluyen los gastos necesarios para la consecución de los créditos internos y externos, realizadas conforme a la ley.",Decreto 1076 de 2015,ARTÍCULO 2.2.9.5.1.1
Servicios Ecosistémicos,"Procesos y funciones de los ecosistemas que son percibidos por el humano como un beneficio (de tipo ecológico, cultural o económico) directo o indirecto.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
SINAP,"Es el conjunto de áreas protegidas, actores sociales y estrategias e instrumentos de gestión que las articulan, para contribuir como un todo al cumplimiento de los objetivos de conservación del país. Incluye todas las áreas protegidas de gobernanza pública, privada o comunitaria, y del ámbito de gestión nacional, regional o local",NA,NA
Sistema acuífero,"Corresponde a un dominio espacial, limitado en superficie y en profundidad, en el que existen uno o varios acuíferos, relacionados o no entre sí.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.1.1.3.
Sistema de Administración Ambiental,"Es el conjunto de medidas que debe implementar todo zoocriadero con fines comerciales de la especie Hélix aspersa para efectos de orientar en forma efectiva el desarrollo de sus actividades, de forma que se garantice el cumplimiento de las normas ambientales vigentes, se asegure la disponibilidad de recursos para el logro de este propósito, se establezcan procesos de planificación dirigidos a alcanzar un mejoramiento continuo y se garantice la adopción oportuna de los términos, condiciones y obligaciones establecidas en la licencia ambiental o en el plan de manejo del zoocriadero, en relación con la prevención, el control y el manejo de cualquier efecto que la actividad pudiera generar sobre el medio ambiente y los recursos naturales renovables.",Decreto 1076 de 2015,ARTÍCULO 2.2.1.2.16.2.
Sistema de Control Ambiental,"Conjunto ordenado de equipos, elementos o maquinaria que se utilizan para el desarrollo de acciones destinadas al logro de resultados medibles y verificables de disminución de la demanda de recursos naturales renovables, o de prevención y/o reducción del volumen y/o mejoramiento de la calidad de residuos líquidos, emisiones atmosféricas o residuos sólidos.",Decreto 2532 de 2001,Artículo 2
Sistema de Monitoreo Ambiental,"Conjunto sistemático de elementos, equipos o maquinaria destinados a la obtención, verificación o procesamiento de información sobre el estado, calidad o comportamiento de los recursos naturales renovables, variables o parámetros ambientales, vertimientos, residuos y/o emisiones",Decreto 2532 de 2001,Artículo 2
Sistema Nacional de Áreas Protegidas (SINAP),"Es el conjunto de las áreas protegidas, los actores sociales e institucionales y las estrategias e instrumentos de gestión que las articulan, que contribuyen como un todo al cumplimiento de los objetivos generales de conservación del país",Decreto 2372 de 2010,ARTICULO 3
Soluciones individuales de saneamiento,Sistemas de recolección y tratamiento de aguas residuales implementados en el sitio de origen,Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Sostenibilidad en el Turismo,"Tiende a las necesidades de los turistas actuales y de las regiones receptoras y al mismo tiempo protege y fomenta las oportunidades para el futuro. Se concibe como una vía hacia la gestión de todos los recursos de forma que puedan satisfacer las necesidades económicas, sociales y estéticas, respaldando al mismo tiempo la integridad cultural, los procesos ecológicos esenciales, la diversidad biológica y los sistemas que sostienen la vida","Organización Mundial de Turismo, 2004",NA
Suelo costero,Es el suelo comprendido por la zona costera.,Decreto 1076 de 2015,ARTÍCULO 2.2.4.1.1.2.
Sustancia de olor ofensivo,"Es aquella que por sus propiedades organolépticas, composición y tiempo de exposición puede causar olores desagradables.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Sustancias agotadoras de la capa de Ozono,"Las sustancias que agotan la capa de ozono (SAO) son sustancias químicas cloradas, bromadas o fluoradas producidas por el hombre con potencial para reaccionar con las moléculas de ozono de la estratosfera, provocando su rompimiento y destrucción a través de en una reacción fotoquímica en cadena. La capacidad de destrucción de una SAO en la atmósfera puede superar los 100 años.",NA,NA
Sustancias peligrosas,"Son aquellas que aisladas o en combinación con otras, por sus características infecciosas, tóxicas, explosivas, corrosivas, inflamables, volátiles, combustibles, radiactivas o reactivas, pueden causar daño a la salud humana, a los recursos naturales renovables o al medio ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Tala,Es el apeo o el acto de cortar árboles,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Tarifa de la tasa retributiva,Es el valor que se cobra por unidad de carga contaminante vertida al recurso hídrico.,Decreto 1076 de 2015,ARTICULO 2.2.9.7.2.1.
Tasa de inmisión,"Es la masa, o cualquiera otra propiedad física, de contaminantes transferida a un receptor por unidad de tiempo.",Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Términos de referencia,Es el documento que contiene los lineamientos generales y por el cual el Ministerio del Medio Ambiente o las corporaciones establecen los requisitos necesarios para realizar y presentar estudios específicos,Decreto 1076 de 2015,ARTÍCULO 2.2.1.1.1.1.
Tiempo de exposición,Es el lapso de duración de un episodio o evento.,Decreto 1076 de 2015,ARTÍCULO 2.2.5.1.1.2.
Titular de la Colección,"Persona que registra la colección, quien será jurídicamente responsable de la misma. En el caso de personas jurídicas el titular será el representante legal o quien haga sus veces",Decreto 1076 de 2015,ARTÍCULO 2.2.2.9.1.3.
Toxicidad,"La propiedad que tiene una sustancia, elemento o compuesto, de causar daños en la salud humana o la muerte de un organismo vivo.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Toxicidad aguda,"La propiedad de una sustancia, elemento, compuesto, desecho, o factor ambiental, de causar efecto letal u otro efecto nocivo en cuatro (4) días o menos a los organismos utilizados para el bioensayo acuático.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Toxicidad crónica,"La propiedad de una sustancia, elemento, compuesto, desecho o factor ambiental, de causar cambios en el apetito, crecimiento, metabolismo, reproducción, movilidad o la muerte o producir mutaciones después de cuatro (A) días a los organismos utilizados por el bioensayo acuático.",Decreto 1076 de 2015,ARTÍCULO 2.2.3.3.1.3.
Tratamiento,"Es el conjunto de operaciones, procesos o técnicas mediante los cuales se modifican las características de los residuos o desechos peligrosos, teniendo en cuenta el riesgo y grado de peligrosidad de los mismos, para incrementar sus posibilidades de aprovechamiento y/o valorización o para minimizar los riesgos para la salud humana y el ambiente.",Decreto 1076 de 2015,ARTÍCULO 2.2.6.1.1.3.
Turbiedad,se refiera a la presencia de partículas suspendidas en el agua que impiden que se vea clara o cristalina. Generalmente su incremento se asocia con la cantidad de sólidos suspendidos totales.,NA,NA
Unidad Ambiental Costera (UAC),"Área de la zona costera definida geográficamente para su ordenación y manejo, que contiene ecosistemas con características propias y distintivas, con condiciones similares y de conectividad en cuanto a sus aspectos estructurales y funcionales.",Decreto 1076 de 2015,ARTÍCULO 2.2.4.1.1.2.
Unidad biogeográfica,"Área caracterizada por la presencia de géneros, especies y subespecies de plantas o animales silvestres que le son endémicos o exclusivos.",Decreto 1076 de 2015,ARTÍCULO 2.2.2.1.8.1.
Unidad hidrológica de análisis,"Área natural de concentración y recolección de aguas superficiales y/o subterráneas que tiene connotación principalmente hidrológica en la cuantificación, distribución y utilización de los recursos hídricos disponibles. Para aguas superficiales su delimitación se realiza siguiendo la divisoria topográfica de aguas, y para aguas subterráneas siguiendo criterios hidrogeológicos",Decreto 1076 de 2015,ARTÍCULO 2.2.9.6.1.2.
